"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",5.613,1.001,5.606,0,3.634,7.591
"sexMale",0.861,0.604,1.427,0.156,-0.332,2.054
"pg_years",-0.008,0.03,-0.261,0.795,-0.067,0.051
"degreePostgraduate degree",1.138,0.649,1.754,0.081,-0.144,2.419
"subspecialty_reiYes",0.686,0.7,0.98,0.329,-0.697,2.069
"provisionYes",2.779,0.856,3.245,0.001,1.087,4.471
"facilityPrivate",-0.384,1.001,-0.384,0.702,-2.361,1.593
"facilityPublic",-0.439,0.702,-0.626,0.532,-1.825,0.947
"guideline_accessYes",-0.795,0.606,-1.313,0.191,-1.992,0.402
